City,date,hour,temperature_c,pressure,is_rainy
Москва,2024-02-15,2,-12,758,0
Москва,2024-02-15,3,-13,759,1
Москва,2024-02-15,4,-13,758,1
Москва,2024-02-15,5,-13,758,1
Москва,2024-02-15,6,-14,759,1
Москва,2024-02-15,7,-14,758,1
Москва,2024-02-15,8,-14,758,1
Москва,2024-02-15,9,-14,760,1
Москва,2024-02-15,10,-14,759,1
Москва,2024-02-15,11,-13,759,1
Москва,2024-02-15,12,-13,760,1
Москва,2024-02-15,13,-12,759,1
Москва,2024-02-15,14,-12,759,1
Москва,2024-02-15,15,-12,760,1
Москва,2024-02-15,16,-12,759,1
Москва,2024-02-15,17,-12,759,1
Москва,2024-02-15,18,-12,761,1
Москва,2024-02-15,19,-12,760,1
Москва,2024-02-15,20,-11,760,1
Москва,2024-02-15,21,-11,761,1
Москва,2024-02-15,22,-11,759,1
Москва,2024-02-15,23,-11,759,1
Москва,2024-02-16,0,-11,760,1
Москва,2024-02-16,1,-11,759,1
Москва,2024-02-16,2,-11,759,1
Москва,2024-02-16,3,-10,760,1
Москва,2024-02-16,4,-10,759,1
Москва,2024-02-16,5,-10,759,1
Москва,2024-02-16,6,-10,760,1
Москва,2024-02-16,7,-10,759,1
Москва,2024-02-16,8,-10,759,1
Москва,2024-02-16,9,-9,760,1
Москва,2024-02-16,10,-9,759,1
Москва,2024-02-16,11,-9,759,1
Москва,2024-02-16,12,-8,760,1
Москва,2024-02-16,13,-8,759,1
Москва,2024-02-16,14,-8,759,1
Москва,2024-02-16,15,-7,759,1
Санкт-Петербург,2024-02-13,0,-11,762,0
Санкт-Петербург,2024-02-13,1,-11,762,0
Санкт-Петербург,2024-02-13,2,-11,762,0
Санкт-Петербург,2024-02-13,3,-12,762,0
Санкт-Петербург,2024-02-13,4,-11,763,0
Санкт-Петербург,2024-02-13,5,-13,763,0
Санкт-Петербург,2024-02-13,6,-13,763,0
Санкт-Петербург,2024-02-13,7,-13,764,0
Санкт-Петербург,2024-02-13,8,-14,764,0
Санкт-Петербург,2024-02-13,9,-14,764,0
Санкт-Петербург,2024-02-13,10,-14,765,0
Санкт-Петербург,2024-02-13,11,-14,765,0
Санкт-Петербург,2024-02-13,12,-12,765,0
Санкт-Петербург,2024-02-13,13,-11,765,0
Санкт-Петербург,2024-02-13,14,-10,765,0
Санкт-Петербург,2024-02-13,15,-11,766,0
Санкт-Петербург,2024-02-13,16,-10,765,0
Санкт-Петербург,2024-02-13,17,-10,765,0
Санкт-Петербург,2024-02-13,18,-11,766,0
Санкт-Петербург,2024-02-13,19,-11,766,0
Санкт-Петербург,2024-02-13,20,-12,766,0
Санкт-Петербург,2024-02-13,21,-12,766,0
Санкт-Петербург,2024-02-13,22,-13,766,0
Санкт-Петербург,2024-02-13,23,-13,766,0
Санкт-Петербург,2024-02-14,0,-13,767,0
Санкт-Петербург,2024-02-14,1,-13,766,0
Санкт-Петербург,2024-02-14,2,-13,766,0
Санкт-Петербург,2024-02-14,3,-13,767,0
Санкт-Петербург,2024-02-14,4,-13,766,0
Санкт-Петербург,2024-02-14,5,-13,766,0
Санкт-Петербург,2024-02-14,6,-13,767,0
Санкт-Петербург,2024-02-14,7,-13,766,0
Санкт-Петербург,2024-02-14,8,-13,767,0
Санкт-Петербург,2024-02-14,9,-13,767,0
Санкт-Петербург,2024-02-14,10,-13,767,0
Санкт-Петербург,2024-02-14,11,-12,767,0
Санкт-Петербург,2024-02-14,12,-11,768,0
Санкт-Петербург,2024-02-14,13,-10,767,0
Санкт-Петербург,2024-02-14,14,-10,766,0
Санкт-Петербург,2024-02-14,15,-10,767,1
Санкт-Петербург,2024-02-14,16,-10,766,1
Санкт-Петербург,2024-02-14,17,-10,766,1
Санкт-Петербург,2024-02-14,18,-10,767,1
Санкт-Петербург,2024-02-14,19,-10,767,1
Санкт-Петербург,2024-02-14,20,-9,767,1
Санкт-Петербург,2024-02-14,21,-10,767,1
Санкт-Петербург,2024-02-14,22,-9,767,1
Санкт-Петербург,2024-02-14,23,-10,767,1
Санкт-Петербург,2024-02-15,0,-9,768,1
Санкт-Петербург,2024-02-15,1,-9,768,1
Санкт-Петербург,2024-02-15,2,-9,768,1
Санкт-Петербург,2024-02-15,3,-9,768,1
Санкт-Петербург,2024-02-15,4,-10,768,1
Санкт-Петербург,2024-02-15,5,-10,768,1
Санкт-Петербург,2024-02-15,6,-10,769,1
Санкт-Петербург,2024-02-15,7,-10,768,0
Санкт-Петербург,2024-02-15,8,-10,768,0
Санкт-Петербург,2024-02-15,9,-10,769,0
Санкт-Петербург,2024-02-15,10,-9,769,0
Санкт-Петербург,2024-02-15,11,-9,769,0
Санкт-Петербург,2024-02-15,12,-8,769,0
Санкт-Петербург,2024-02-15,13,-8,769,0
Санкт-Петербург,2024-02-15,14,-8,769,0
Санкт-Петербург,2024-02-15,15,-7,769,0
Санкт-Петербург,2024-02-15,16,-7,769,0
Санкт-Петербург,2024-02-15,17,-7,769,0
Санкт-Петербург,2024-02-15,18,-7,769,0
Санкт-Петербург,2024-02-15,19,-8,769,0
Санкт-Петербург,2024-02-15,20,-8,769,0
Санкт-Петербург,2024-02-15,21,-8,770,0
Санкт-Петербург,2024-02-15,22,-8,769,0
Санкт-Петербург,2024-02-15,23,-8,769,0
Санкт-Петербург,2024-02-16,0,-8,770,0
Санкт-Петербург,2024-02-16,1,-9,770,0
Санкт-Петербург,2024-02-16,2,-9,769,0
Санкт-Петербург,2024-02-16,3,-9,770,0
Санкт-Петербург,2024-02-16,4,-9,769,0
Санкт-Петербург,2024-02-16,5,-10,769,0
Санкт-Петербург,2024-02-16,6,-10,770,0
Санкт-Петербург,2024-02-16,7,-10,769,0
Санкт-Петербург,2024-02-16,8,-11,769,0
Санкт-Петербург,2024-02-16,9,-12,770,0
Санкт-Петербург,2024-02-16,10,-11,770,0
Санкт-Петербург,2024-02-16,11,-10,770,0
Санкт-Петербург,2024-02-16,12,-9,770,0
Санкт-Петербург,2024-02-16,13,-8,769,0
Санкт-Петербург,2024-02-16,14,-7,769,0
Санкт-Петербург,2024-02-16,15,-7,767,0
Новосибирск,2024-02-13,0,-20,754,0
Новосибирск,2024-02-13,1,-19,757,0
Новосибирск,2024-02-13,2,-19,755,0
Новосибирск,2024-02-13,3,-18,755,0
Новосибирск,2024-02-13,4,-18,757,0
Новосибирск,2024-02-13,5,-19,755,0
Новосибирск,2024-02-13,6,-19,756,0
Новосибирск,2024-02-13,7,-18,758,0
Новосибирск,2024-02-13,8,-20,756,0
Новосибирск,2024-02-13,9,-19,756,0
Новосибирск,2024-02-13,10,-18,758,0
Новосибирск,2024-02-13,11,-17,756,0
Новосибирск,2024-02-13,12,-16,756,0
Новосибирск,2024-02-13,13,-15,758,1
Новосибирск,2024-02-13,14,-15,755,0
Новосибирск,2024-02-13,15,-14,755,0
Новосибирск,2024-02-13,16,-13,757,0
Новосибирск,2024-02-13,17,-13,755,0
Новосибирск,2024-02-13,18,-13,754,0
Новосибирск,2024-02-13,19,-13,756,0
Новосибирск,2024-02-13,20,-13,754,0
Новосибирск,2024-02-13,21,-13,754,0
Новосибирск,2024-02-13,22,-12,756,1
Новосибирск,2024-02-13,23,-12,753,1
Новосибирск,2024-02-14,0,-12,753,1
Новосибирск,2024-02-14,1,-12,753,0
Новосибирск,2024-02-14,2,-11,750,0
Новосибирск,2024-02-14,3,-11,749,0
Новосибирск,2024-02-14,4,-10,750,0
Новосибирск,2024-02-14,5,-10,747,0
Новосибирск,2024-02-14,6,-10,746,0
Новосибирск,2024-02-14,7,-9,747,0
Новосибирск,2024-02-14,8,-8,743,0
Новосибирск,2024-02-14,9,-8,742,0
Новосибирск,2024-02-14,10,-7,743,1
Новосибирск,2024-02-14,11,-7,740,1
Новосибирск,2024-02-14,12,-7,739,1
Новосибирск,2024-02-14,13,-7,739,1
Новосибирск,2024-02-14,14,-7,735,1
Новосибирск,2024-02-14,15,-6,734,1
Новосибирск,2024-02-14,16,-6,735,1
Новосибирск,2024-02-14,17,-5,733,1
Новосибирск,2024-02-14,18,-4,732,1
Новосибирск,2024-02-14,19,-4,732,1
Новосибирск,2024-02-14,20,-6,731,1
Новосибирск,2024-02-14,21,-9,732,1
Новосибирск,2024-02-14,22,-12,736,1
Новосибирск,2024-02-14,23,-14,734,1
Новосибирск,2024-02-15,0,-15,737,1
Новосибирск,2024-02-15,1,-15,740,1
Новосибирск,2024-02-15,2,-17,739,1
Новосибирск,2024-02-15,3,-18,740,1
Новосибирск,2024-02-15,4,-20,742,1
Новосибирск,2024-02-15,5,-21,741,1
Новосибирск,2024-02-15,6,-22,742,1
Новосибирск,2024-02-15,7,-23,745,1
Новосибирск,2024-02-15,8,-24,742,1
Новосибирск,2024-02-15,9,-25,744,1
Новосибирск,2024-02-15,10,-26,746,1
Новосибирск,2024-02-15,11,-26,744,1
Новосибирск,2024-02-15,12,-25,744,1
Новосибирск,2024-02-15,13,-25,747,1
Новосибирск,2024-02-15,14,-24,744,1
Новосибирск,2024-02-15,15,-24,744,1
Новосибирск,2024-02-15,16,-24,747,1
Новосибирск,2024-02-15,17,-24,744,1
Новосибирск,2024-02-15,18,-25,745,1
Новосибирск,2024-02-15,19,-25,747,1
Новосибирск,2024-02-15,20,-26,744,0
Новосибирск,2024-02-15,21,-27,745,0
Новосибирск,2024-02-15,22,-27,747,0
Новосибирск,2024-02-15,23,-27,745,1
Новосибирск,2024-02-16,0,-27,745,0
Новосибирск,2024-02-16,1,-27,747,1
Новосибирск,2024-02-16,2,-28,745,1
Новосибирск,2024-02-16,3,-28,745,0
Новосибирск,2024-02-16,4,-28,748,0
Новосибирск,2024-02-16,5,-28,746,1
Новосибирск,2024-02-16,6,-29,746,1
Новосибирск,2024-02-16,7,-30,749,1
Новосибирск,2024-02-16,8,-30,747,1
Новосибирск,2024-02-16,9,-30,747,1
Новосибирск,2024-02-16,10,-30,750,1
Новосибирск,2024-02-16,11,-29,748,1
Новосибирск,2024-02-16,12,-28,748,1
Новосибирск,2024-02-16,13,-27,751,1
Новосибирск,2024-02-16,14,-26,749,1
Новосибирск,2024-02-16,15,-25,749,1
Новосибирск,2024-02-16,16,-24,752,1
Новосибирск,2024-02-16,17,-24,750,1
Новосибирск,2024-02-16,18,-24,750,1
Новосибирск,2024-02-16,19,-24,753,1
Казань,2024-02-13,0,-9,754,1
Казань,2024-02-13,1,-9,753,1
Казань,2024-02-13,2,-8,752,0
Казань,2024-02-13,3,-9,753,1
Казань,2024-02-13,4,-8,752,1
Казань,2024-02-13,5,-8,752,1
Казань,2024-02-13,6,-8,752,1
Казань,2024-02-13,7,-8,752,1
Казань,2024-02-13,8,-8,752,1
Казань,2024-02-13,9,-8,754,1
Казань,2024-02-13,10,-8,754,0
Казань,2024-02-13,11,-7,755,0
Казань,2024-02-13,12,-7,756,0
Казань,2024-02-13,13,-8,756,0
Казань,2024-02-13,14,-8,757,0
Казань,2024-02-13,15,-8,758,0
Казань,2024-02-13,16,-9,758,0
Казань,2024-02-13,17,-11,758,0
Казань,2024-02-13,18,-12,760,1
Казань,2024-02-13,19,-13,760,1
Казань,2024-02-13,20,-14,761,1
Казань,2024-02-13,21,-15,762,1
Казань,2024-02-13,22,-16,762,0
Казань,2024-02-13,23,-17,762,0
Казань,2024-02-14,0,-18,763,0
Казань,2024-02-14,1,-18,763,0
Казань,2024-02-14,2,-19,763,0
Казань,2024-02-14,3,-20,765,0
Казань,2024-02-14,4,-21,765,0
Казань,2024-02-14,5,-22,765,0
Казань,2024-02-14,6,-22,766,0
Казань,2024-02-14,7,-22,765,0
Казань,2024-02-14,8,-22,766,0
Казань,2024-02-14,9,-21,767,0
Казань,2024-02-14,10,-19,767,0
Казань,2024-02-14,11,-18,767,0
Казань,2024-02-14,12,-18,768,0
Казань,2024-02-14,13,-17,767,0
Казань,2024-02-14,14,-17,768,0
Казань,2024-02-14,15,-17,769,0
Казань,2024-02-14,16,-19,769,0
Казань,2024-02-14,17,-20,769,0
Казань,2024-02-14,18,-20,770,0
Казань,2024-02-14,19,-21,769,0
Казань,2024-02-14,20,-22,770,0
Казань,2024-02-14,21,-22,771,0
Казань,2024-02-14,22,-23,771,0
Казань,2024-02-14,23,-23,771,0
Казань,2024-02-15,0,-24,772,0
Казань,2024-02-15,1,-24,772,0
Казань,2024-02-15,2,-25,772,0
Казань,2024-02-15,3,-25,773,0
Казань,2024-02-15,4,-26,773,0
Казань,2024-02-15,5,-26,773,0
Казань,2024-02-15,6,-27,775,0
Казань,2024-02-15,7,-27,774,0
Казань,2024-02-15,8,-27,774,0
Казань,2024-02-15,9,-26,776,0
Казань,2024-02-15,10,-23,776,0
Казань,2024-02-15,11,-22,776,0
Казань,2024-02-15,12,-22,777,0
Казань,2024-02-15,13,-21,776,0
Казань,2024-02-15,14,-21,776,0
Казань,2024-02-15,15,-20,777,0
Казань,2024-02-15,16,-21,777,0
Казань,2024-02-15,17,-24,777,0
Казань,2024-02-15,18,-25,779,0
Казань,2024-02-15,19,-25,778,0
Казань,2024-02-15,20,-26,778,0
Казань,2024-02-15,21,-27,779,0
Казань,2024-02-15,22,-28,778,0
Казань,2024-02-15,23,-28,778,0
Казань,2024-02-16,0,-29,780,0
Казань,2024-02-16,1,-29,778,0
Казань,2024-02-16,2,-29,778,0
Казань,2024-02-16,3,-29,780,0
Казань,2024-02-16,4,-28,778,0
Казань,2024-02-16,5,-28,778,0
Казань,2024-02-16,6,-28,779,0
Казань,2024-02-16,7,-28,778,0
Казань,2024-02-16,8,-26,778,0
Казань,2024-02-16,9,-25,779,0
Казань,2024-02-16,10,-24,778,0
Казань,2024-02-16,11,-22,778,0
Казань,2024-02-16,12,-21,779,0
Казань,2024-02-16,13,-20,778,0
Казань,2024-02-16,14,-20,778,0
Казань,2024-02-16,15,-18,775,0
Тула,2024-02-13,0,0,741,0
Тула,2024-02-13,1,0,741,0
Тула,2024-02-13,2,0,741,0
Тула,2024-02-13,3,0,742,0
Тула,2024-02-13,4,0,742,0
Тула,2024-02-13,5,0,742,0
Тула,2024-02-13,6,-1,743,0
Тула,2024-02-13,7,-1,742,0
Тула,2024-02-13,8,-1,743,0
Тула,2024-02-13,9,-3,744,0
Тула,2024-02-13,10,-2,744,0
Тула,2024-02-13,11,-3,744,0
Тула,2024-02-13,12,-3,745,0
Тула,2024-02-13,13,-3,745,0
Тула,2024-02-13,14,-3,745,0
Тула,2024-02-13,15,-3,746,0
Тула,2024-02-13,16,-3,746,0
Тула,2024-02-13,17,-3,746,0
Тула,2024-02-13,18,-4,747,1
Тула,2024-02-13,19,-4,747,1
Тула,2024-02-13,20,-4,747,1
Тула,2024-02-13,21,-5,748,1
Тула,2024-02-13,22,-5,747,1
Тула,2024-02-13,23,-6,748,1
Тула,2024-02-14,0,-6,749,1
Тула,2024-02-14,1,-6,748,1
Тула,2024-02-14,2,-7,748,1
Тула,2024-02-14,3,-7,750,1
Тула,2024-02-14,4,-8,749,1
Тула,2024-02-14,5,-9,749,1
Тула,2024-02-14,6,-9,750,1
Тула,2024-02-14,7,-9,749,1
Тула,2024-02-14,8,-10,750,1
Тула,2024-02-14,9,-9,752,1
Тула,2024-02-14,10,-9,750,1
Тула,2024-02-14,11,-9,750,1
Тула,2024-02-14,12,-8,752,1
Тула,2024-02-14,13,-8,751,1
Тула,2024-02-14,14,-8,751,1
Тула,2024-02-14,15,-8,752,0
Тула,2024-02-14,16,-8,751,0
Тула,2024-02-14,17,-8,751,0
Тула,2024-02-14,18,-9,753,0
Тула,2024-02-14,19,-9,752,0
Тула,2024-02-14,20,-9,752,0
Тула,2024-02-14,21,-9,753,0
Тула,2024-02-14,22,-10,752,0
Тула,2024-02-14,23,-10,753,0
Тула,2024-02-15,0,-10,754,0
Тула,2024-02-15,1,-10,753,0
Тула,2024-02-15,2,-11,753,1
Тула,2024-02-15,3,-11,754,1
Тула,2024-02-15,4,-12,753,1
Тула,2024-02-15,5,-12,754,1
Тула,2024-02-15,6,-12,755,1
Тула,2024-02-15,7,-12,754,1
Тула,2024-02-15,8,-12,754,1
Тула,2024-02-15,9,-12,756,1
Тула,2024-02-15,10,-12,755,1
Тула,2024-02-15,11,-12,755,1
Тула,2024-02-15,12,-11,756,1
Тула,2024-02-15,13,-11,755,1
Тула,2024-02-15,14,-10,755,1
Тула,2024-02-15,15,-10,756,1
Тула,2024-02-15,16,-10,755,1
Тула,2024-02-15,17,-10,755,1
Тула,2024-02-15,18,-10,756,1
Тула,2024-02-15,19,-10,755,1
Тула,2024-02-15,20,-10,755,1
Тула,2024-02-15,21,-10,756,1
Тула,2024-02-15,22,-10,755,1
Тула,2024-02-15,23,-10,756,1
Тула,2024-02-16,0,-10,757,1
Тула,2024-02-16,1,-10,756,1
Тула,2024-02-16,2,-10,755,1
Тула,2024-02-16,3,-10,757,1
Тула,2024-02-16,4,-10,755,1
Тула,2024-02-16,5,-10,755,1
Тула,2024-02-16,6,-10,756,1
Тула,2024-02-16,7,-10,755,1
Тула,2024-02-16,8,-10,756,1
Тула,2024-02-16,9,-10,757,1
Тула,2024-02-16,10,-10,756,1
Тула,2024-02-16,11,-9,756,1
Тула,2024-02-16,12,-9,757,1
Тула,2024-02-16,13,-8,756,1
Тула,2024-02-16,14,-8,756,1
Тула,2024-02-16,15,-7,758,1
